,tome,chapitre,section,id,count,gender,number,mentions,agent,patient,mod,poss,action,affect_emotion,body_parts,capability_obligation,cognition,communication,environment,existence_state,human_relations,motion,not_a_valid_character_attribute,perception,personality_traits,physical_objects,physical_traits,possession,sociological
0,TOME_I,CHAPITRE_PREMIER,I,0,"{'occurrence': 131, 'mention_ratio': 0.3754}","{'ratio': 0.374, 'inference': {'Male': 0.88, 'Female': 0.12}, 'max': 0.88, 'argmax': 'Male'}","{'ratio': 0.7252000000000001, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'au prince basile', 'c': 1}, {'n': 'mon prince', 'c': 1}, {'n': 'le prince basile', 'c': 1}, {'n': ""l' empereur alexandre"", 'c': 1}, {'n': 'notre aimable wintzingerode', 'c': 1}], 'common': [{'n': 'le prince', 'c': 9}, {'n': 'sa majesté', 'c': 4}, {'n': ""l' impératrice mère"", 'c': 2}, {'n': ""l' impératrice"", 'c': 2}, {'n': 'prince', 'c': 1}, {'n': 'mon ami', 'c': 1}, {'n': 'mon fidèle esclave', 'c': 1}, {'n': 'cher prince', 'c': 1}, {'n': 'personnage grave et officiel', 'c': 1}, {'n': 'monsieur le comte', 'c': 1}, {'n': ""l' ambassadeur"", 'c': 1}, {'n': 'notre bienfaiteur', 'c': 1}, {'n': 'notre empereur bien-aimé', 'c': 1}, {'n': 'ce monstre', 'c': 1}, {'n': 'cet assassin', 'c': 1}, {'n': 'du juste', 'c': 1}, {'n': 'notre souverain', 'c': 1}, {'n': 'notre cher empereur', 'c': 1}, {'n': 'le sauveur de', 'c': 1}, {'n': ""l' empereur"", 'c': 1}, {'n': 'du prince', 'c': 1}, {'n': 'votre fidèle esclave', 'c': 1}, {'n': 'votre fils prodigue', 'c': 1}, {'n': 'son père', 'c': 1}, {'n': ""feu l' empereur"", 'c': 1}], 'pronoun': [{'n': 'vous', 'c': 22}, {'n': 'sa', 'c': 8}, {'n': 'il', 'c': 8}, {'n': '-vous', 'c': 5}, {'n': ""j'"", 'c': 5}, {'n': 'je', 'c': 5}, {'n': 'votre', 'c': 4}, {'n': 'son', 'c': 3}, {'n': 'me', 'c': 3}, {'n': 'lui', 'c': 3}, {'n': 'le', 'c': 3}, {'n': '-moi', 'c': 2}, {'n': '-il', 'c': 2}, {'n': '-je', 'c': 2}, {'n': 'moi', 'c': 2}, {'n': 'qui', 'c': 2}, {'n': 'elle', 'c': 2}, {'n': 'vôtres', 'c': 2}, {'n': 'ses', 'c': 1}, {'n': 'ma', 'c': 1}, {'n': ""l'"", 'c': 1}, {'n': 'mes', 'c': 1}, {'n': 'mon', 'c': 1}]}","[{'w': 'cesser', 'i': 34}, {'w': 'dire', 'i': 46}, {'w': 'continuer', 'i': 50}, {'w': 'obstiner', 'i': 59}, {'w': 'avoir', 'i': 231}, {'w': 'répondre', 'i': 290}, {'w': 'porter', 'i': 304}, {'w': 'exprimer', 'i': 335}, {'w': 'approcher', 'i': 378}, {'w': 'baiser', 'i': 384}, {'w': 'installer', 'i': 398}, {'w': 'espérer', 'i': 489}, {'w': 'paraître', 'i': 516}, {'w': 'répondre', 'i': 573}, {'w': 'savoir', 'i': 607}, {'w': 'dire', 'i': 628}, {'w': 'reprendre', 'i': 631}, {'w': 'tenir', 'i': 644}, {'w': 'parler', 'i': 684}, {'w': 'avoir', 'i': 880}, {'w': 'faillir', 'i': 892}, {'w': 'accomplir', 'i': 931}, {'w': 'écraser', 'i': 935}, {'w': 'refuser', 'i': 1003}, {'w': 'attendre', 'i': 1009}, {'w': 'désirer', 'i': 1044}, {'w': 'vouloir', 'i': 1050}, {'w': 'témoigner', 'i': 1495}, {'w': 'taire', 'i': 1506}, {'w': 'faire', 'i': 1607}, {'w': 'vouloir', 'i': 1760}, {'w': 'dire', 'i': 1763}, {'w': 'répondre', 'i': 1841}, {'w': 'savoir', 'i': 1855}, {'w': 'reprendre', 'i': 1860}, {'w': 'faire', 'i': 1870}, {'w': 'pouvoir', 'i': 1875}, {'w': 'sourire', 'i': 1918}, {'w': 'pouvoir', 'i': 2001}, {'w': 'accepter', 'i': 2028}, {'w': 'taire', 'i': 2038}, {'w': 'songer', 'i': 2061}, {'w': 'croire', 'i': 2087}, {'w': 'avoir', 'i': 2096}, {'w': 'voir', 'i': 2318}, {'w': 'dire', 'i': 2331}, {'w': 'baiser', 'i': 2413}, {'w': 'enfoncer', 'i': 2432}]","[{'w': 'voir', 'i': 268}, {'w': 'chercher', 'i': 522}, {'w': 'abandonner', 'i': 927}, {'w': 'consoler', 'i': 1569}, {'w': 'regarder', 'i': 1846}, {'w': 'marier', 'i': 2063}]","[{'w': 'fidèle', 'i': 41}, {'w': 'cher', 'i': 92}, {'w': 'grave', 'i': 158}, {'w': 'officiel', 'i': 160}, {'w': 'bien-aimé', 'i': 916}, {'w': 'bon', 'i': 919}, {'w': 'cher', 'i': 1125}, {'w': 'aimable', 'i': 1160}, {'w': 'dernier', 'i': 1737}, {'w': 'fidèle', 'i': 1986}, {'w': 'esclave', 'i': 1987}, {'w': 'prodigue', 'i': 2066}]","[{'w': 'entourage', 'i': 143}, {'w': 'soirée', 'i': 167}, {'w': 'figure', 'i': 328}, {'w': 'voix', 'i': 357}, {'w': 'tête', 'i': 391}, {'w': 'aise', 'i': 402}, {'w': 'phrase', 'i': 445}, {'w': 'sentiment', 'i': 882}, {'w': 'trait', 'i': 953}, {'w': 'sang', 'i': 969}, {'w': 'destinée', 'i': 1122}, {'w': 'place', 'i': 1157}, {'w': 'fille', 'i': 1582}, {'w': 'respect', 'i': 1613}, {'w': 'reconnaissance', 'i': 1616}, {'w': 'cadet', 'i': 1709}, {'w': 'cadet', 'i': 1801}, {'w': 'figure', 'i': 1818}, {'w': 'enfant', 'i': 2006}, {'w': 'existence', 'i': 2020}, {'w': 'soumission', 'i': 2046}, {'w': 'fils', 'i': 2065}, {'w': 'fille', 'i': 2099}, {'w': 'fauteuil', 'i': 2435}]",6,3,7,1,17,17,0,2,4,6,9,4,6,1,0,0,7
1,TOME_I,CHAPITRE_PREMIER,I,1,"{'occurrence': 35, 'mention_ratio': 0.1003}","{'ratio': 0.4857, 'inference': {'Male': 0.24, 'Female': 0.76}, 'max': 0.76, 'argmax': 'Female'}","{'ratio': 0.8857, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna schérer', 'c': 1}, {'n': 'mlle schérer', 'c': 1}, {'n': 'la princesse bolkonsky', 'c': 1}, {'n': 'ce fameux prince bolkonsky', 'c': 1}], 'common': [{'n': 'une pauvre malade', 'c': 1}, {'n': 'fille', 'c': 1}, {'n': 'votre fille', 'c': 1}, {'n': 'une jeune fille', 'c': 1}, {'n': 'une parente à nous', 'c': 1}, {'n': 'pauvre enfant', 'c': 1}, {'n': 'vieille fille', 'c': 1}], 'pronoun': [{'n': 'je', 'c': 4}, {'n': 'son', 'c': 3}, {'n': 'mon', 'c': 2}, {'n': 'qui', 'c': 2}, {'n': 'il', 'c': 2}, {'n': 'elle', 'c': 2}, {'n': '-je', 'c': 1}, {'n': ""j'"", 'c': 1}, {'n': 'sa', 'c': 1}, {'n': '-elle', 'c': 1}, {'n': 'moi', 'c': 1}, {'n': 'la', 'c': 1}, {'n': 'est-elle', 'c': 1}, {'n': 'lui', 'c': 1}, {'n': 'auquel', 'c': 1}]}","[{'w': 'dire', 'i': 9}, {'w': 'déclarer', 'i': 29}, {'w': 'voir', 'i': 96}, {'w': 'faire', 'i': 100}, {'w': 'tousser', 'i': 171}, {'w': 'dire', 'i': 181}, {'w': 'venir', 'i': 520}, {'w': 'faire', 'i': 1583}, {'w': 'voir', 'i': 2231}, {'w': 'avoir', 'i': 2295}]","[{'w': 'trouver', 'i': 1598}, {'w': 'avoir', 'i': 2096}]","[{'w': 'sûr', 'i': 86}, {'w': 'pauvre', 'i': 255}, {'w': 'jeune', 'i': 2098}, {'w': 'malheureux', 'i': 2117}, {'w': 'fameux', 'i': 2242}, {'w': 'pauvre', 'i': 2285}, {'w': 'malheureux', 'i': 2288}, {'w': 'bon', 'i': 2380}, {'w': 'famille', 'i': 2381}, {'w': 'riche', 'i': 2383}, {'w': 'vieux', 'i': 2488}]","[{'w': 'ami', 'i': 38}, {'w': 'esclave', 'i': 42}, {'w': 'majesté', 'i': 131}, {'w': 'apparition', 'i': 1591}, {'w': 'père', 'i': 2121}, {'w': 'père', 'i': 2222}, {'w': 'frère', 'i': 2298}]",0,6,0,0,2,3,0,4,6,1,2,0,2,0,0,0,4
2,TOME_I,CHAPITRE_PREMIER,I,2,"{'occurrence': 33, 'mention_ratio': 0.0946}","{'ratio': 0.2121, 'inference': {'Male': 0.5700000000000001, 'Female': 0.43}, 'max': 0.5700000000000001, 'argmax': 'Male'}","{'ratio': 0.7879, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}], 'common': [{'n': 'prince', 'c': 1}], 'pronoun': [{'n': 'je', 'c': 4}, {'n': ""j'"", 'c': 4}, {'n': 'vous', 'c': 4}, {'n': 'me', 'c': 3}, {'n': 'mon', 'c': 2}, {'n': 'son', 'c': 2}, {'n': '-vous', 'c': 2}, {'n': '-moi', 'c': 2}, {'n': 'il', 'c': 2}, {'n': 'sa', 'c': 2}, {'n': 'elle', 'c': 1}, {'n': 'votre', 'c': 1}, {'n': '-elle', 'c': 1}, {'n': 'le', 'c': 1}]}","[{'w': 'croire', 'i': 897}, {'w': 'tenir', 'i': 902}, {'w': 'croire', 'i': 1090}, {'w': 'avoir', 'i': 1114}, {'w': 'arrêter', 'i': 1137}, {'w': 'emporter', 'i': 1170}, {'w': 'attendre', 'i': 1206}, {'w': 'savoir', 'i': 1258}, {'w': 'prier', 'i': 1282}, {'w': 'venir', 'i': 1295}, {'w': 'aller', 'i': 1304}]","[{'w': 'irriter', 'i': 819}, {'w': 'prier', 'i': 1282}]","[{'w': 'tout', 'i': 904}]","[{'w': 'avis', 'i': 848}, {'w': 'foi', 'i': 1115}, {'w': 'éloquence', 'i': 1166}, {'w': 'calme', 'i': 1203}, {'w': 'visite', 'i': 1316}, {'w': 'majesté', 'i': 1326}]",1,4,0,0,6,3,0,0,1,2,1,2,0,0,0,0,0
3,TOME_I,CHAPITRE_PREMIER,I,3,"{'occurrence': 15, 'mention_ratio': 0.043000000000000003}","{'ratio': 0.2, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 0.8667, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'le prince basile', 'c': 1}, {'n': 'koutouzow', 'c': 1}], 'common': [{'n': 'père', 'c': 1}, {'n': 'mon starost [ 4 ]', 'c': 1}], 'pronoun': [{'n': 'ses', 'c': 3}, {'n': 'son', 'c': 1}, {'n': 'sa', 'c': 1}, {'n': 'me', 'c': 1}, {'n': '-il', 'c': 1}, {'n': 'votre', 'c': 1}, {'n': '-moi', 'c': 1}, {'n': 'je', 'c': 1}, {'n': 'mon', 'c': 1}]}","[{'w': 'dire', 'i': 2128}, {'w': 'indiquer', 'i': 2137}, {'w': 'écrire', 'i': 2365}]",[],[],"[{'w': 'conclusion', 'i': 2142}, {'w': 'empressement', 'i': 2154}, {'w': 'mémoire', 'i': 2161}, {'w': 'pensée', 'i': 2189}, {'w': 'princesse', 'i': 2218}, {'w': 'starost', 'i': 2367}, {'w': 'rapport', 'i': 2375}]",0,1,0,0,3,3,0,0,2,0,0,0,0,0,0,1,0
4,TOME_I,CHAPITRE_PREMIER,I,4,"{'occurrence': 12, 'mention_ratio': 0.0344}","{'ratio': 0.5, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}], 'common': [], 'pronoun': [{'n': 'je', 'c': 5}, {'n': 'elle', 'c': 4}, {'n': '-elle', 'c': 1}, {'n': 'son', 'c': 1}]}","[{'w': 'continuer', 'i': 1638}, {'w': 'rapprocher', 'i': 1650}, {'w': 'abandonner', 'i': 1663}, {'w': 'aimer', 'i': 1714}, {'w': 'sourire', 'i': 1752}, {'w': 'avoir', 'i': 1774}, {'w': 'parler', 'i': 1792}, {'w': 'regarder', 'i': 1846}, {'w': 'attendre', 'i': 1850}, {'w': 'avoir', 'i': 1966}]",[],[],"[{'w': 'sourire', 'i': 1755}, {'w': 'bosse', 'i': 1777}, {'w': 'reproche', 'i': 1968}]",0,2,1,0,1,3,0,0,0,2,1,2,1,0,0,0,0
5,TOME_I,CHAPITRE_PREMIER,I,5,"{'occurrence': 11, 'mention_ratio': 0.0315}","{'ratio': 0.2727, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 0.6364000000000001, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}], 'common': [{'n': 'chère amie', 'c': 1}, {'n': 'votre princesse', 'c': 1}], 'pronoun': [{'n': 'votre', 'c': 2}, {'n': 'vous', 'c': 2}, {'n': 'je', 'c': 2}, {'n': 'lui', 'c': 1}, {'n': ""m'"", 'c': 1}]}","[{'w': 'voilà', 'i': 480}, {'w': 'croire', 'i': 526}, {'w': 'avouer', 'i': 538}]","[{'w': 'ennuyer', 'i': 553}]","[{'w': 'cher', 'i': 411}]","[{'w': 'santé', 'i': 422}, {'w': 'désir', 'i': 564}]",1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
6,TOME_I,CHAPITRE_PREMIER,I,6,"{'occurrence': 11, 'mention_ratio': 0.0315}","{'ratio': 0.2727, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'mlle schérer', 'c': 1}], 'common': [{'n': ""la demoiselle d' honneur"", 'c': 1}], 'pronoun': [{'n': 'ses', 'c': 3}, {'n': 'sa', 'c': 2}, {'n': 'lui', 'c': 1}, {'n': 'elle', 'c': 1}, {'n': 'je', 'c': 1}, {'n': ""l'"", 'c': 1}]}","[{'w': 'affecter', 'i': 700}, {'w': 'pouvoir', 'i': 803}, {'w': 'vouloir', 'i': 806}, {'w': 'demande', 'i': 981}]","[{'w': 'serrer', 'i': 2427}]",[],"[{'w': 'position', 'i': 716}, {'w': 'connaissance', 'i': 752}, {'w': 'figure', 'i': 765}, {'w': 'trait', 'i': 778}, {'w': 'main', 'i': 2415}]",0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,3
7,TOME_I,CHAPITRE_PREMIER,I,7,"{'occurrence': 10, 'mention_ratio': 0.0287}","{'ratio': 0.5, 'inference': {'Male': 0.0, 'Female': 1.0}, 'max': 1.0, 'argmax': 'Female'}","{'ratio': 0.9, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'anna pavlovna', 'c': 1}, {'n': 'chère annette', 'c': 1}], 'common': [], 'pronoun': [{'n': 'elle', 'c': 3}, {'n': 'son', 'c': 2}, {'n': 'sa', 'c': 1}, {'n': '-je', 'c': 1}, {'n': 'vos', 'c': 1}]}","[{'w': 'donner', 'i': 1448}, {'w': 'prononcer', 'i': 1474}, {'w': 'savoir', 'i': 1578}]",[],"[{'w': 'cher', 'i': 2328}]","[{'w': 'figure', 'i': 1451}, {'w': 'regard', 'i': 1484}, {'w': 'esclafe', 'i': 2361}]",1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1
8,TOME_I,CHAPITRE_PREMIER,I,8,"{'occurrence': 9, 'mention_ratio': 0.0258}","{'ratio': 0.8889, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'cet antéchrist', 'c': 1}, {'n': 'du baron founcke', 'c': 1}, {'n': 'au baron founcke', 'c': 1}, {'n': 'le baron founcke', 'c': 1}, {'n': 'anatole', 'c': 1}], 'common': [{'n': 'votre cadet', 'c': 2}, {'n': 'le baron', 'c': 1}], 'pronoun': [{'n': 'lui', 'c': 1}]}","[{'w': 'paraître', 'i': 1348}]",[],[],"[{'w': 'nomination', 'i': 1333}, {'w': 'exception', 'i': 1703}]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9,TOME_I,CHAPITRE_PREMIER,I,9,"{'occurrence': 8, 'mention_ratio': 0.0229}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [], 'pronoun': [{'n': 'notre', 'c': 5}, {'n': 'nous', 'c': 2}, {'n': 'nos', 'c': 1}]}",[],"[{'w': 'accomplir', 'i': 931}]",[],"[{'w': 'bienfaiteur', 'i': 879}, {'w': 'empereur', 'i': 915}, {'w': 'acte', 'i': 1017}, {'w': 'souverain', 'i': 1040}, {'w': 'empereur', 'i': 1126}, {'w': 'wintzingerode', 'i': 1161}]",1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1
